,Normalized SMILES,T/K,P,Mole,Index,P/bar,ln(x_CO2)
6438,CC(C)C[P+](C)(CC(C)C)CC(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313.15,1699.8,0.3,195,16.998,0.3
6439,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.15,2003,0.3,159,20.03,0.3
6440,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,363.18,6416,0.3,66,64.16,0.3
6441,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,353.13,5559,0.3,66,55.59,0.3
6442,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,343.15,4726,0.3,66,47.26,0.3
6443,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,333.06,3912,0.3,66,39.12,0.3
6444,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,323.08,3160,0.3,66,31.6,0.3
6445,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,313.15,2619,0.3,66,26.19,0.3
6446,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,303.3,2056,0.3,66,20.56,0.3
6447,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,293.25,1540,0.3,66,15.4,0.3
6448,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,333.3,4010,0.3,22,40.1,0.3
6449,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,313.7,2540,0.3,22,25.4,0.3
6450,CC[n+]1ccn(C)c1.N#C[S-],313.3,4280,0.3,43,42.8,0.3
6451,CCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,373.15,5790,0.2999,133,57.9,0.2999
6452,CCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,298.15,1693,0.2997,7,16.93,0.2997
6453,CCCCCC[n+]1ccn(C)c1.N#CC(=C=[N-])C#N,298.15,1693,0.2997,7,16.93,0.2997
6454,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,333.15,2535,0.2997,42,25.35,0.2997
6455,CCCCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],313.15,2910,0.29962803,191,29.1,0.29962803
6456,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,283.15,1117,0.2995,42,11.17,0.2995
6457,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)C(F)(F)C(F)(F)F,333.15,2970,0.299366861,119,29.7,0.299366861
6458,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,307.55,3430,0.299316455,9,34.3,0.299316455
6459,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,363.1,4789,0.2992,27,47.89,0.2992
6460,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,358.27,4529,0.2992,27,45.29,0.2992
6461,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,353.09,4229,0.2992,27,42.29,0.2992
6462,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,348.11,3969,0.2992,27,39.69,0.2992
6463,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,343.13,3729,0.2992,27,37.29,0.2992
6464,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,343.13,3709,0.2992,27,37.09,0.2992
6465,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,338.18,3449,0.2992,27,34.49,0.2992
6466,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,333.4,3209,0.2992,27,32.09,0.2992
6467,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,328.19,2954,0.2992,27,29.54,0.2992
6468,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,323.62,2748,0.2992,27,27.48,0.2992
6469,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,318.39,2514,0.2992,27,25.14,0.2992
6470,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,313.24,2299,0.2992,27,22.99,0.2992
6471,CCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,308.26,2123,0.2992,27,21.23,0.2992
6472,CC(=O)[O-].CC[n+]1ccn(C)c1,338.2,499,0.299,10,4.99,0.299
6473,C[NH+]1C=CN(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.16,1100,0.299,25,11,0.299
