Tg/K,IL,Normalized SMILES
214,22,C([n+]1cn(C)cc1)c1nnn(c1)CCCC.FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O
214,22,C(F)(S(=O)(=O)[N-]S(=O)(C(F)(F)F)=O)(F)F.n1(CCCC)nnc(c1)C[n+]1cn(C)cc1
214,22,C(n1nnc(C[n+]2cn(cc2)C)c1)CCC.O=S(=O)([N-]S(=O)(C(F)(F)F)=O)C(F)(F)F
214,22,S(=O)(C(F)(F)F)([N-]S(=O)(=O)C(F)(F)F)=O.n1c(cn(CCCC)n1)C[n+]1cn(C)cc1
214,22,S([N-]S(C(F)(F)F)(=O)=O)(=O)(=O)C(F)(F)F.n1c(C[n+]2ccn(C)c2)cn(n1)CCCC
214,22,Cn1c[n+](Cc2nnn(CCCC)c2)cc1.FC(F)(F)S(=O)([N-]S(=O)(C(F)(F)F)=O)=O
214,22,S(=O)([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.n1nc(cn1CCCC)C[n+]1cn(cc1)C
243,23,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.n1(C)c([n+](Cc2cn(Cc3ccccc3)nn2)cc1)C
243,23,[N-](S(C(F)(F)F)(=O)=O)S(C(F)(F)F)(=O)=O.[n+]1(ccn(c1C)C)Cc1nnn(Cc2ccccc2)c1
243,23,FC(F)(S([N-]S(=O)(=O)C(F)(F)F)(=O)=O)F.n1c(C[n+]2ccn(C)c2C)cn(Cc2ccccc2)n1
243,23,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.n1c(C[n+]2c(C)n(C)cc2)cn(n1)Cc1ccccc1
243,23,FC(S(=O)(=O)[N-]S(C(F)(F)F)(=O)=O)(F)F.c1c[n+](c(n1C)C)Cc1nnn(c1)Cc1ccccc1
243,23,O=S(C(F)(F)F)(=O)[N-]S(=O)(C(F)(F)F)=O.c1cc(Cn2cc(C[n+]3ccn(C)c3C)nn2)ccc1
243,23,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.c1[n+](c(n(C)c1)C)Cc1nnn(c1)Cc1ccccc1
